  2023-03-01 12:36:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 12:36:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.93000000,pro_RI= 0.99650000,pro_Precisions= 0.93333333,pro_Recalls= 0.94583333,pro_F1= 0.92869048 
  2023-03-01 12:36:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 12:40:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 400,pro_acc= 0.92000000,pro_RI= 0.99600000,pro_Precisions= 0.92500000,pro_Recalls= 0.94791667,pro_F1= 0.91892857 
  2023-03-01 12:40:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 400,Z_acc= 0.94000000,Z_RI= 0.99700000,Z_Precisions= 0.94583333,Z_Recalls= 0.94791667,Z_F1= 0.93892857 
  2023-03-01 12:40:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 400,pro_acc= 0.92000000,pro_RI= 0.99600000,pro_Precisions= 0.92500000,pro_Recalls= 0.94791667,pro_F1= 0.91892857 
  2023-03-01 12:40:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 400,Z_acc= 0.94000000,Z_RI= 0.99700000,Z_Precisions= 0.94583333,Z_Recalls= 0.94791667,Z_F1= 0.93892857 
  2023-03-01 12:44:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.95000000,pro_RI= 0.99750000,pro_Precisions= 0.95833333,pro_Recalls= 0.96500000,pro_F1= 0.95125000 
  2023-03-01 12:44:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 12:44:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.95000000,pro_RI= 0.99750000,pro_Precisions= 0.95833333,pro_Recalls= 0.96500000,pro_F1= 0.95125000 
  2023-03-01 12:44:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 12:48:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.93000000,pro_RI= 0.99650000,pro_Precisions= 0.93750000,pro_Recalls= 0.95625000,pro_F1= 0.93226190 
  2023-03-01 12:48:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.94000000,Z_RI= 0.99700000,Z_Precisions= 0.94583333,Z_Recalls= 0.94791667,Z_F1= 0.93642857 
  2023-03-01 12:48:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.93000000,pro_RI= 0.99650000,pro_Precisions= 0.93750000,pro_Recalls= 0.95625000,pro_F1= 0.93226190 
  2023-03-01 12:48:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.94000000,Z_RI= 0.99700000,Z_Precisions= 0.94583333,Z_Recalls= 0.94791667,Z_F1= 0.93642857 
  2023-03-01 12:52:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.94000000,pro_RI= 0.99700000,pro_Precisions= 0.94583333,pro_Recalls= 0.95625000,pro_F1= 0.94095238 
  2023-03-01 12:52:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 12:52:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.94000000,pro_RI= 0.99700000,pro_Precisions= 0.94583333,pro_Recalls= 0.95625000,pro_F1= 0.94095238 
  2023-03-01 12:52:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 12:56:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.94000000,pro_RI= 0.99700000,pro_Precisions= 0.94583333,pro_Recalls= 0.95875000,pro_F1= 0.94184524 
  2023-03-01 12:56:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 12:56:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.94000000,pro_RI= 0.99700000,pro_Precisions= 0.94583333,pro_Recalls= 0.95875000,pro_F1= 0.94184524 
  2023-03-01 12:56:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 13:00:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 58,pro_acc= 0.93000000,pro_RI= 0.99650000,pro_Precisions= 0.93333333,pro_Recalls= 0.95041667,pro_F1= 0.92851190 
  2023-03-01 13:00:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 58,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 13:00:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 58,pro_acc= 0.93000000,pro_RI= 0.99650000,pro_Precisions= 0.93333333,pro_Recalls= 0.95041667,pro_F1= 0.92851190 
  2023-03-01 13:00:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 58,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 13:04:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 400,pro_acc= 0.94000000,pro_RI= 0.99700000,pro_Precisions= 0.94166667,pro_Recalls= 0.95875000,pro_F1= 0.93851190 
  2023-03-01 13:04:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 400,Z_acc= 0.94000000,Z_RI= 0.99700000,Z_Precisions= 0.94583333,Z_Recalls= 0.94791667,Z_F1= 0.93892857 
  2023-03-01 13:04:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 400,pro_acc= 0.94000000,pro_RI= 0.99700000,pro_Precisions= 0.94166667,pro_Recalls= 0.95875000,pro_F1= 0.93851190 
  2023-03-01 13:04:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 400,Z_acc= 0.94000000,Z_RI= 0.99700000,Z_Precisions= 0.94583333,Z_Recalls= 0.94791667,Z_F1= 0.93892857 
  2023-03-01 13:08:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.94000000,pro_RI= 0.99700000,pro_Precisions= 0.94583333,pro_Recalls= 0.95458333,pro_F1= 0.94017857 
  2023-03-01 13:08:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.96000000,Z_RI= 0.99800000,Z_Precisions= 0.96250000,Z_Recalls= 0.96250000,Z_F1= 0.95750000 
  2023-03-01 13:08:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.94000000,pro_RI= 0.99700000,pro_Precisions= 0.94583333,pro_Recalls= 0.95458333,pro_F1= 0.94017857 
  2023-03-01 13:08:09,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.96000000,Z_RI= 0.99800000,Z_Precisions= 0.96250000,Z_Recalls= 0.96250000,Z_F1= 0.95750000 
  2023-03-01 13:12:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.95000000,pro_RI= 0.99750000,pro_Precisions= 0.95416667,pro_Recalls= 0.96708333,pro_F1= 0.95184524 
  2023-03-01 13:12:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.93000000,Z_RI= 0.99650000,Z_Precisions= 0.93750000,Z_Recalls= 0.94416667,Z_F1= 0.92875000 
  2023-03-01 13:12:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.95000000,pro_RI= 0.99750000,pro_Precisions= 0.95416667,pro_Recalls= 0.96708333,pro_F1= 0.95184524 
  2023-03-01 13:12:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.93000000,Z_RI= 0.99650000,Z_Precisions= 0.93750000,Z_Recalls= 0.94416667,Z_F1= 0.92875000 
  2023-03-01 13:16:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.93000000,pro_RI= 0.99650000,pro_Precisions= 0.93333333,pro_Recalls= 0.95250000,pro_F1= 0.92875000 
  2023-03-01 13:16:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 13:16:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.93000000,pro_RI= 0.99650000,pro_Precisions= 0.93333333,pro_Recalls= 0.95250000,pro_F1= 0.92875000 
  2023-03-01 13:16:08,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95416667,Z_F1= 0.94750000 
  2023-03-01 13:20:07,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.95000000,pro_RI= 0.99750000,pro_Precisions= 0.95416667,pro_Recalls= 0.95625000,pro_F1= 0.94892857 
  2023-03-01 13:20:07,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95625000,Z_F1= 0.94892857 
  2023-03-01 13:20:07,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.95000000,pro_RI= 0.99750000,pro_Precisions= 0.95416667,pro_Recalls= 0.95625000,pro_F1= 0.94892857 
  2023-03-01 13:20:07,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.95000000,Z_RI= 0.99750000,Z_Precisions= 0.95416667,Z_Recalls= 0.95625000,Z_F1= 0.94892857 
  2023-03-01 13:24:07,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,pro_acc= 0.94000000,pro_RI= 0.99700000,pro_Precisions= 0.94583333,pro_Recalls= 0.95875000,pro_F1= 0.94184524 
  2023-03-01 13:24:07,shiyan = 1, lambda = 0.25000000,h = 30, init_Z =100,rankZ= 59,Z_acc= 0.94000000,Z_RI= 0.99700000,Z_Precisions= 0.94583333,Z_Recalls= 0.94791667,Z_F1= 0.93892857 
