  2023-03-03 23:02:54,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =240,rankZ= 92,pro_acc= 0.53149606,pro_RI= 0.99053527,pro_Precisions= 0.53703704,pro_Recalls= NaN,pro_F1= 0.49409171 
  2023-03-03 23:02:54,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =240,rankZ= 92,Z_acc= 0.56809339,Z_RI= 0.99136187,Z_Precisions= 0.57666667,Z_Recalls= NaN,Z_F1= 0.52364042 
  2023-03-03 23:33:46,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =230,rankZ= 3,pro_acc= 0.51968504,pro_RI= 0.99029667,pro_Precisions= 0.52525253,pro_Recalls= NaN,pro_F1= 0.47159109 
  2023-03-03 23:33:46,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =230,rankZ= 3,Z_acc= 0.57587549,Z_RI= 0.99151751,Z_Precisions= 0.58333333,Z_Recalls= NaN,Z_F1= 0.53404518 
  2023-03-04 00:04:42,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =220,rankZ= 94,pro_acc= 0.53307393,pro_RI= 0.99066148,pro_Precisions= 0.54166667,pro_Recalls= NaN,pro_F1= 0.48685714 
  2023-03-04 00:04:42,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =220,rankZ= 94,Z_acc= 0.61091284,Z_RI= 0.99206226,Z_Precisions= 0.61946667,Z_Recalls= NaN,Z_F1= 0.57752367 
  2023-03-04 00:35:38,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =210,rankZ= 84,pro_acc= 0.56809339,pro_RI= 0.99136187,pro_Precisions= 0.57333333,pro_Recalls= NaN,pro_F1= 0.53648629 
  2023-03-04 00:35:38,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =210,rankZ= 84,Z_acc= 0.57198444,Z_RI= 0.99143969,Z_Precisions= 0.57500000,Z_Recalls= NaN,Z_F1= 0.54025153 
  2023-03-04 01:06:32,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =200,rankZ= 15,pro_acc= 0.55252918,pro_RI= 0.99105058,pro_Precisions= 0.56000000,pro_Recalls= NaN,pro_F1= 0.51535714 
  2023-03-04 01:06:32,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =200,rankZ= 15,Z_acc= 0.58365759,Z_RI= 0.99167315,Z_Precisions= 0.58500000,Z_Recalls= NaN,Z_F1= 0.54301948 
  2023-03-04 01:37:24,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =190,rankZ= 95,pro_acc= 0.59143969,pro_RI= 0.99182879,pro_Precisions= 0.59166667,pro_Recalls= NaN,pro_F1= 0.54211400 
  2023-03-04 01:37:24,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =190,rankZ= 95,Z_acc= 0.58754864,Z_RI= 0.99175097,Z_Precisions= 0.59000000,Z_Recalls= NaN,Z_F1= 0.54682540 
  2023-03-04 02:08:20,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =180,rankZ= 92,pro_acc= 0.58365759,pro_RI= 0.99167315,pro_Precisions= 0.58833333,pro_Recalls= NaN,pro_F1= 0.54580952 
  2023-03-04 02:08:20,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =180,rankZ= 92,Z_acc= 0.59143969,Z_RI= 0.99182879,Z_Precisions= 0.60000000,Z_Recalls= NaN,Z_F1= 0.55558081 
  2023-03-04 02:39:18,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =170,rankZ= 81,pro_acc= 0.54863813,pro_RI= 0.99097276,pro_Precisions= 0.55000000,pro_Recalls= NaN,pro_F1= 0.51046248 
  2023-03-04 02:39:18,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =170,rankZ= 81,Z_acc= 0.59143969,Z_RI= 0.99182879,Z_Precisions= 0.60000000,Z_Recalls= NaN,Z_F1= 0.56138095 
  2023-03-04 03:10:15,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =160,rankZ= 80,pro_acc= 0.56420233,pro_RI= 0.99128405,pro_Precisions= 0.56833333,pro_Recalls= NaN,pro_F1= 0.53321501 
  2023-03-04 03:10:15,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =160,rankZ= 80,Z_acc= 0.59533074,Z_RI= 0.99190661,Z_Precisions= 0.60333333,Z_Recalls= NaN,Z_F1= 0.56917605 
  2023-03-04 03:41:09,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =150,rankZ= 3,pro_acc= 0.52362205,pro_RI= 0.99037620,pro_Precisions= 0.53030303,pro_Recalls= NaN,pro_F1= 0.49564695 
  2023-03-04 03:41:09,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =150,rankZ= 3,Z_acc= 0.57976654,Z_RI= 0.99159533,Z_Precisions= 0.58500000,Z_Recalls= NaN,Z_F1= 0.54086508 
  2023-03-04 04:12:03,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =140,rankZ= 24,pro_acc= 0.54863813,pro_RI= 0.99097276,pro_Precisions= 0.55666667,pro_Recalls= NaN,pro_F1= 0.51347619 
  2023-03-04 04:12:03,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =140,rankZ= 24,Z_acc= 0.57976654,Z_RI= 0.99159533,Z_Precisions= 0.58166667,Z_Recalls= NaN,Z_F1= 0.55258630 
