2023-03-02 09:13:46,shiyan = 1, lambda = 1.10000000,h = 30, init_Z =100,rankZ= 90,pro_acc= 0.77042802,pro_RI= 0.99540856,pro_Precisions= 0.76666667,pro_Recalls= NaN,pro_F1= 0.75269048 
  2023-03-02 09:13:46,shiyan = 1, lambda = 1.10000000,h = 30, init_Z =100,rankZ= 90,Z_acc= 0.78210117,Z_RI= 0.99564202,Z_Precisions= 0.78166667,Z_Recalls= NaN,Z_F1= 0.76796970 
  2023-03-02 09:42:57,shiyan = 1, lambda = 1.10000000,h = 40, init_Z =100,rankZ= 32,pro_acc= 0.78988327,pro_RI= 0.99579767,pro_Precisions= 0.79000000,pro_Recalls= NaN,pro_F1= 0.78026190 
  2023-03-02 09:42:57,shiyan = 1, lambda = 1.10000000,h = 40, init_Z =100,rankZ= 32,Z_acc= 0.79377432,Z_RI= 0.99587549,Z_Precisions= 0.79333333,Z_Recalls= NaN,Z_F1= 0.78354113 
  2023-03-02 10:12:05,shiyan = 1, lambda = 1.10000000,h = 50, init_Z =100,rankZ= 107,pro_acc= 0.78599222,pro_RI= 0.99571984,pro_Precisions= 0.78500000,pro_Recalls= NaN,pro_F1= 0.77583333 
  2023-03-02 10:12:05,shiyan = 1, lambda = 1.10000000,h = 50, init_Z =100,rankZ= 107,Z_acc= 0.79377432,Z_RI= 0.99587549,Z_Precisions= 0.79166667,Z_Recalls= NaN,Z_F1= 0.77954113 
  2023-03-02 10:41:54,shiyan = 1, lambda = 1.10000000,h = 60, init_Z =100,rankZ= 92,pro_acc= 0.80155642,pro_RI= 0.99603113,pro_Precisions= 0.79833333,pro_Recalls= NaN,pro_F1= 0.78637446 
  2023-03-02 10:41:54,shiyan = 1, lambda = 1.10000000,h = 60, init_Z =100,rankZ= 92,Z_acc= 0.78988327,Z_RI= 0.99579767,Z_Precisions= 0.78833333,Z_Recalls= NaN,Z_F1= 0.77708874 
  2023-03-02 11:12:02,shiyan = 1, lambda = 1.10000000,h = 70, init_Z =100,rankZ= 86,pro_acc= 0.78210117,pro_RI= 0.99564202,pro_Precisions= 0.78333333,pro_Recalls= NaN,pro_F1= 0.77211255 
  2023-03-02 11:12:02,shiyan = 1, lambda = 1.10000000,h = 70, init_Z =100,rankZ= 86,Z_acc= 0.80155642,Z_RI= 0.99603113,Z_Precisions= 0.80000000,Z_Recalls= NaN,Z_F1= 0.78746970 
  2023-03-02 11:42:27,shiyan = 1, lambda = 1.10000000,h = 80, init_Z =100,rankZ= 123,pro_acc= 0.78988327,pro_RI= 0.99579767,pro_Precisions= 0.79000000,pro_Recalls= NaN,pro_F1= 0.78129121 
  2023-03-02 11:42:27,shiyan = 1, lambda = 1.10000000,h = 80, init_Z =100,rankZ= 123,Z_acc= 0.80155642,Z_RI= 0.99603113,Z_Precisions= 0.80000000,Z_Recalls= NaN,Z_F1= 0.78939827 
  2023-03-02 12:12:03,shiyan = 1, lambda = 1.10000000,h = 30, init_Z =100,rankZ= 98,pro_acc= 0.78210117,pro_RI= 0.99564202,pro_Precisions= 0.78333333,pro_Recalls= NaN,pro_F1= 0.77838095 
  2023-03-02 12:12:03,shiyan = 1, lambda = 1.10000000,h = 30, init_Z =100,rankZ= 98,Z_acc= 0.78599222,Z_RI= 0.99571984,Z_Precisions= 0.78666667,Z_Recalls= NaN,Z_F1= 0.77719048 
  2023-03-02 12:41:48,shiyan = 1, lambda = 1.10000000,h = 40, init_Z =100,rankZ= 103,pro_acc= 0.81323852,pro_RI= 0.99618677,pro_Precisions= 0.81373333,pro_Recalls= NaN,pro_F1= 0.80060952 
  2023-03-02 12:41:48,shiyan = 1, lambda = 1.10000000,h = 40, init_Z =100,rankZ= 103,Z_acc= 0.80933852,Z_RI= 0.99618677,Z_Precisions= 0.81000000,Z_Recalls= NaN,Z_F1= 0.79954113 
  2023-03-02 13:11:36,shiyan = 1, lambda = 1.10000000,h = 50, init_Z =100,rankZ= 108,pro_acc= 0.79766537,pro_RI= 0.99595331,pro_Precisions= 0.79666667,pro_Recalls= NaN,pro_F1= 0.78437446 
  2023-03-02 13:11:36,shiyan = 1, lambda = 1.10000000,h = 50, init_Z =100,rankZ= 108,Z_acc= 0.79377432,Z_RI= 0.99587549,Z_Precisions= 0.79166667,Z_Recalls= NaN,Z_F1= 0.77792208 
  2023-03-02 13:41:34,shiyan = 1, lambda = 1.10000000,h = 60, init_Z =100,rankZ= 114,pro_acc= 0.80155642,pro_RI= 0.99603113,pro_Precisions= 0.80166667,pro_Recalls= NaN,pro_F1= 0.79261255 
  2023-03-02 13:41:34,shiyan = 1, lambda = 1.10000000,h = 60, init_Z =100,rankZ= 114,Z_acc= 0.80544747,Z_RI= 0.99610895,Z_Precisions= 0.80500000,Z_Recalls= NaN,Z_F1= 0.79325541 
