 i = 10,   Jzb = 123.39775546 ,  Jz = 123.50506899,  err = 0.52564191 
 i = 20,   Jzb = 122.34380089 ,  Jz = 122.45026623,  err = 0.52341050 
 i = 30,   Jzb = 121.27276823 ,  Jz = 121.38002648,  err = 0.52112783 
 i = 40,   Jzb = 120.20824934 ,  Jz = 120.31376296,  err = 0.51884695 
 i = 50,   Jzb = 119.16976693 ,  Jz = 119.27210607,  err = 0.51661157 
 i = 60,   Jzb = 118.16733310 ,  Jz = 118.26579239,  err = 0.51444477 
 i = 70,   Jzb = 117.20563794 ,  Jz = 117.29990733,  err = 0.51235806 
 i = 80,   Jzb = 116.28393106 ,  Jz = 116.37420952,  err = 0.51035084 
 i = 90,   Jzb = 115.40492479 ,  Jz = 115.49089279,  err = 0.50843030 
 i = 100,   Jzb = 114.56844517 ,  Jz = 114.65021517,  err = 0.50659711 
 Iter = 8,  obj = 264.00632538  ,rankZ= 30 
 i = 10,   Jzb = 113.42464675 ,  Jz = 113.52208529,  err = 0.50562587 
 i = 20,   Jzb = 112.60152692 ,  Jz = 112.67707743,  err = 0.50380177 
 i = 30,   Jzb = 111.87543442 ,  Jz = 111.94596881,  err = 0.50219022 
 i = 40,   Jzb = 111.18998567 ,  Jz = 111.25694606,  err = 0.50066545 
 i = 50,   Jzb = 110.53871351 ,  Jz = 110.60236236,  err = 0.49921365 
 i = 60,   Jzb = 109.91972778 ,  Jz = 109.98021532,  err = 0.49783119 
 i = 70,   Jzb = 109.33157016 ,  Jz = 109.38903952,  err = 0.49651535 
 i = 80,   Jzb = 108.77280930 ,  Jz = 108.82740300,  err = 0.49526337 
 i = 90,   Jzb = 108.24203483 ,  Jz = 108.29389227,  err = 0.49407252 
 i = 100,   Jzb = 107.73787956 ,  Jz = 107.78713504,  err = 0.49294008 
 Iter = 9,  obj = 185.83254616  ,rankZ= 30 
 i = 10,   Jzb = 110.84299643 ,  Jz = 110.96960625,  err = 0.49517677 
 i = 20,   Jzb = 109.89235204 ,  Jz = 109.96977140,  err = 0.49304614 
 i = 30,   Jzb = 109.21652054 ,  Jz = 109.27751145,  err = 0.49153631 
 i = 40,   Jzb = 108.65931397 ,  Jz = 108.71131563,  err = 0.49029451 
 i = 50,   Jzb = 108.17368701 ,  Jz = 108.21974110,  err = 0.48921423 
 i = 60,   Jzb = 107.73811041 ,  Jz = 107.77980121,  err = 0.48824676 
 i = 70,   Jzb = 107.34065287 ,  Jz = 107.37891699,  err = 0.48736512 
 i = 80,   Jzb = 106.97395283 ,  Jz = 107.00939175,  err = 0.48655268 
 i = 90,   Jzb = 106.63312530 ,  Jz = 106.66614992,  err = 0.48579845 
 i = 100,   Jzb = 106.31474315 ,  Jz = 106.34564850,  err = 0.48509474 
 Iter = 10,  obj = 223.34035835  ,rankZ= 31 
 i = 10,   Jzb = 104.49432928 ,  Jz = 104.51870512,  err = 0.48372736 
 i = 20,   Jzb = 104.30519142 ,  Jz = 104.32341096,  err = 0.48331950 
 i = 30,   Jzb = 104.11747213 ,  Jz = 104.13674058,  err = 0.48291232 
 i = 40,   Jzb = 103.92124590 ,  Jz = 103.94106272,  err = 0.48248378 
 i = 50,   Jzb = 103.72281850 ,  Jz = 103.74261515,  err = 0.48204899 
 i = 60,   Jzb = 103.52671034 ,  Jz = 103.54612814,  err = 0.48161876 
 i = 70,   Jzb = 103.33390677 ,  Jz = 103.35292552,  err = 0.48119547 
 i = 80,   Jzb = 103.14781773 ,  Jz = 103.16607849,  err = 0.48078728 
 i = 90,   Jzb = 102.96969088 ,  Jz = 102.98713041,  err = 0.48039723 
 i = 100,   Jzb = 102.79996090 ,  Jz = 102.81654964,  err = 0.48002641 
 Iter = 11,  obj = 204.29732005  ,rankZ= 30 
 i = 10,   Jzb = 103.51094859 ,  Jz = 103.55862396,  err = 0.48059327 
